genres,id,keywords,original_language,production_countries,spoken_languages,title
"Action, Fantasy, Thriller",71676,"monk, eastern europe, skeleton, biker, marvel comic, superhero, motorcycle, devil, dark hero, ghost rider",en,"United Arab Emirates, United States of America",English,Ghost Rider: Spirit of Vengeance
"Drama, History, Romance",1722,"officer, greek island, mandolin, italian soldier, resistance fighter, greek history, italian army, allied forces",en,"United Kingdom, United States of America, France","English, Deutsch, ελληνικά, Italiano",Captain Corelli's Mandolin
"Action, Comedy, Drama, Family, Thriller",10022,"bodybuilder, children, body guard, scientist, family, u.s. soldier, death of husband, male nanny",en,"Canada, United States of America","English, 한국어/조선말",The Pacifier
"Adventure, Drama, Action, Thriller",11358,"casino, sheriff, home, violence, special forces, ex soldier",en,United States of America,English,Walking Tall
"Comedy, Drama, Romance",13,"vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee",en,United States of America,English,Forrest Gump
"Comedy, Music, Family, Fantasy, Animation",6477,"pop, pop star, record producer, surprise, approach, forest, music, concert, friendship, performance, chipmunk, talking animal, songwriter, talking to animals, duringcreditsstinger",en,United States of America,"English, Español, Français, 日本語",Alvin and the Chipmunks
"Comedy, Romance",1597,"cia, airport, cat, jew, orderly, airplane, father-in-law, epistaxis, daughter, lost baggage, urn, pavilion, volleyball, hospital, wedding",en,United States of America,English,Meet the Parents
"Adventure, Animation, Drama, Family",10530,"culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on folk tale, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim",en,United States of America,English,Pocahontas
"Action, Adventure, Fantasy, Science Fiction",1924,"saving the world, journalist, dc comics, crime fighter, nuclear missile, galaxy, superhero, based on comic book, criminal, sabotage, north pole, midwest, kryptonite, super powers, superhuman strength, aftercreditsstinger, save the day",en,"United Kingdom, United States of America",English,Superman
"Fantasy, Comedy, Romance, Science Fiction",9327,"overweight, overweight man, duringcreditsstinger",en,United States of America,English,The Nutty Professor
"Comedy, Drama, Romance",8488,"speed date, romantic comedy, dating",en,United States of America,English,Hitch
"Adventure, Comedy, Family, Romance",10603,"africa, san francisco, gorilla, lion, feral child, jungle",en,United States of America,"English, Español",George of the Jungle
"Comedy, Romance",8273,"handcuffs, sister sister relationship, spanner, blow job, stag night, wedding",en,United States of America,English,American Wedding
"Action, Drama, Thriller",109424,"ship, hijacking, somalia, fisherman, blood, poverty, pirate, terrorism, commando, hijack, cargo ship, ship captain, ship hijacking, somali, commando unit",en,United States of America,"English, Somali",Captain Phillips
Comedy,35056,"date, corruption, taxi, expensive restaurant, wife husband relationship, gun, boat, taxi driver, document, restaurant, roof, married couple, politician, stripper, shooting, thief, car crash, stealing, mistaken identity, police corruption, aftercreditsstinger, duringcreditsstinger",en,United States of America,"עִבְרִית, English",Date Night
"Fantasy, Comedy, Family",8839,"halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children",en,United States of America,English,Casper
"Thriller, Action, Crime",156022,"corruption, assassin, hostage, fbi, hitman, russian, security camera, sadism, vigilante, sociopath, revenge, suspense, organized crime, gore, gangster, violence, teenage prostitute, commando, interrogation, surveillance, ex soldier, faked death, loner, call girl, black ops, hand to hand combat, mysterious past",en,United States of America,English,The Equalizer
"Comedy, Drama, Romance",7303,"hotel, politician, mistaken identity, maid, class differences, single mother, public relations, maid uniform, hotel clerk, wealth differences",en,United States of America,"English, Français",Maid in Manhattan
"Action, Thriller, Drama",8963,"submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar",en,United States of America,English,Crimson Tide
Drama,1402,"san francisco, single parent, homeless person, bus, worker, homelessness, work, church service, bad luck, biography, salesman, stockbroker",en,United States of America,"English, 广州话 / 廣州話",The Pursuit of Happyness
"Thriller, Drama, Mystery",9315,"berlin, loss of father, airplane, baby-snatching",en,United States of America,"العربية, Deutsch, English, Français, Italiano, 日本語",Flightplan
"Drama, Thriller, Crime, Mystery, Romance",8984,"employee, workplace, sexual harassment, intrigue",en,United States of America,English,Disclosure
"Drama, Fantasy, Romance",795,"suicide, angel, life and death, desperation, operation, heaven, faith, afterlife, los angeles, interspecies romance",en,"United States of America, Germany","English, Polski",City of Angels
"Action, Crime",24,"japan, coma, martial arts, kung fu, underworld, yakuza, sword, bride, revenge, gore, female yakuza, blood, wedding, samurai sword, part animation",en,United States of America,"English, 日本語, Français",Kill Bill: Vol. 1
Comedy,11353,"film producer, film director, movie studio, hollywood, filmmaking, movie actress",en,United States of America,English,Bowfinger
"Action, Crime, Thriller",393,"brother brother relationship, swordplay, katana, mother role, rage and hate, daughter, right and justice, single, aftercreditsstinger, duringcreditsstinger",en,United States of America,"English, 普通话, Español, 广州话 / 廣州話",Kill Bill: Vol. 2
"Action, Adventure, Comedy",9618,"prisoner, war on drugs, los angeles",en,United States of America,English,Tango & Cash
"Fantasy, Comedy",9374,"jealousy, beauty, immortality, rivalry, potion, drinking",en,United States of America,English,Death Becomes Her
"Adventure, Action, Comedy, Western",8584,"princess, sioux, travel, rescue, native american, chinese, cowboy, duringcreditsstinger, 19th century",en,"Hong Kong, United States of America","English, 普通话, Español",Shanghai Noon
"Action, Adventure, Drama, Thriller",2320,"bomb, ransom, hostage, airplane, hijacking, terror cell, special unit, deception, rescue, covert operation, disaster, shootout, terrorism, explosion, violence, surveillance, night vision goggles, flight attendant, intelligence agent, flashback, hand to hand combat, nerve gas",en,United States of America,English,Executive Decision
"Comedy, Family",58224,"taxi, restaurant, zoo, penguin, ex husband, little boy, zookeeper, doorman, ride, bird hatching, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,Mr. Popper's Penguins
"Action, Adventure, Fantasy",1729,"tempel, shaolin, teenager, urination, staff, warrior, monkey king",en,"China, United States of America","English, 普通话",The Forbidden Kingdom
"Animation, Comedy, Family",175574,"holiday, thanksgiving, freedom, duringcreditsstinger, 3d",en,United States of America,English,Free Birds
"Science Fiction, Action, Horror",8077,"prison, android, spacecraft, space marine, imprisonment, space colony, space travel, rottweiler, dystopia, sequel, alien, redemption, outer space, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph",en,"United Kingdom, United States of America",English,Alien³
"History, Drama, Music",8818,"prostitute, deification, dancehall hostess, perónism, argentine president, rise to power, singing narrator, soccer ball",en,"United States of America, Hungary","English, Español",Evita
"Action, Thriller, Crime, Adventure",8195,"paris, france, arms deal, audi, impostor, case, violence, ice skating, computer expert, ex kgb, preparation, hit with a car door, cellular phone trace, merry go round",en,"France, United Kingdom, United States of America","English, Français, Pусский",Ronin
Adventure,10586,"africa, lion, bridge, based on true story, kenya, animal attack, lion attack, colonialism, swahili",en,"Germany, United States of America",English,The Ghost and the Darkness
"Family, Comedy",116149,"england, train station, based on novel, bear, anthropomorphism, talking to animals, children's book",en,United Kingdom,English,Paddington
Comedy,80035,"usa, sterility, castration, marriage, friendship, alien, suburb, alien invasion, death, teenage daughter, neighborhood watch, creepy neighbor",en,United States of America,English,The Watch
"Drama, Action, Thriller, Crime",10632,"hunter, fbi, knife, balkan war, woods, psychopathic killer, slaughter, survivalist, maniac, special forces, killing spree, combat, ex soldier, dark past, manhunt, gory violence",en,United States of America,English,The Hunted
"Drama, Mystery, Thriller",12117,"prison, gorilla, research, instinct, murder, psychologist",en,United States of America,English,Instinct
Comedy,1792,"sex, dancer, martial arts, cook, stripper, love, bully, hollywood, twins, flashback, freak, actor, anxiety, conjoined, siamese",en,United States of America,English,Stuck on You
Comedy,13260,"sport, basketball, flint michigan, nba, merger, trade, garbage can, canon, ramp, championship, dead parent",en,United States of America,English,Semi-Pro
"Animation, Adventure, Family, Comedy",72197,"rivalry, stop motion, pirate, aftercreditsstinger, duringcreditsstinger",en,United Kingdom,English,The Pirates! In an Adventure with Scientists!
"Crime, Drama, Mystery",3580,"corruption, mother, nudity, minister, power, public, government, police, reunion, murder, conspiracy, los angeles, missing, mother love, criticism",en,United States of America,English,Changeling
"Action, Drama, Science Fiction, Thriller",12123,"fbi, hydrogen bomb, secret lab, energy supply, conspiracy, aftercreditsstinger",en,United States of America,English,Chain Reaction
"Drama, Mystery, Thriller",9566,"sport, luck, san francisco giants, child custody, baseball pitcher, baseball fan, psychotic fan, sports agent, driving range, steam room",en,United States of America,English,The Fan
"Thriller, Drama, Romance",9833,"dancing, obsession, auction, wheelchair, rose, product placement, musical, remake, tragic villain, black and white, rooftop, heroine, disfigured face, based on stage musical, theater, disfigurement mask, breaking mirror, opera singer, 1910s",en,"United Kingdom, United States of America","Italiano, English",The Phantom of the Opera
"Drama, History, Romance",4517,"england, assassination, spain, virgin, colony, governance, queen elizabeth i, religious war, tudors, execution, middle ages, catholicism, sea battle, palace intrigue",en,United Kingdom,"svenska, English, Español",Elizabeth: The Golden Age
"Action, Science Fiction",8202,"martial arts, dystopia, surrealism, based on cartoon, shootout, espionage, infertility, cyberpunk, extreme violence, sabotage, one against many, woman director, hand to hand combat, action heroine, human cloning, 25th century",en,United States of America,English,Æon Flux
"Drama, History, War",16072,"war, battle, union soldier, confederate soldier, american civil war, secession",en,United States of America,English,Gods and Generals
"Action, Thriller, Crime",34314,"stewardess, airplane, shootout, air marshal, christmas, turbulence",en,United States of America,English,Turbulence
Comedy,19724,,en,United States of America,English,Imagine That
"Comedy, Adventure, Crime, Family",145220,"musical, the muppets",en,United States of America,"Deutsch, English",Muppets Most Wanted
"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",14623,"secret organization, based on tv series, golden gate bridge, locker, oil rig , teenage hero, soaked clothes, thunderbirds",en,"United Kingdom, France",English,Thunderbirds
"Drama, Romance",42297,"musical, los angeles, burlesque, burlesque dancer",en,United States of America,English,Burlesque
Drama,2841,"paris, prostitute, loss of lover, amnesia, bodily disabled person, world war i, wheelchair, brittany, lighthouse, verdun, lighthouse keeper   , teenage crush, disappearance, soldier, illegal prostitution, private detective, missing person, polio, trenches",fr,France,", Français, Deutsch",A Very Long Engagement
"Drama, Romance",802,"sexual obsession, hotel, depression, loss of mother, small town, flirt, midlife crisis, eroticism, youngster, lolita, motel, diary, seduction, forbidden love, professor for literature, provocation, fascination, one-sided love, widow, adoptive father, loss of husband, summer camp, secret love",en,"United Kingdom, United States of America",English,Lolita
"Action, Thriller",10375,"alcoholism, serial killer, hospital, police officer, detox",en,United States of America,English,D-Tox
"Fantasy, Horror, Action, Thriller",36586,"katana, mutation, vampire, silver, superhero, tragic villain, broken neck, lasersight, violence, exploding body, blade, subjective camera, torso cut in half, reaper, broken wrist, razor blade, shot through a door, sword duel, burnt face",en,"Germany, United States of America","Český, Română, English",Blade II
Drama,11321,"vegetarian, tax collector, pianist, blind, organ transplant, blood type",en,United States of America,"English, Español",Seven Pounds
"Action, Crime, Thriller",70074,,en,"Switzerland, United States of America",English,Bullet to the Head
"Crime, Drama, Thriller",242,"italy, christianity, new york, assassination, italo-american, vatican, pope, confession, helicopter, daughter, lawyer",en,"Italy, United States of America","English, Italiano, Deutsch, Latin",The Godfather: Part III
"Comedy, Drama, Romance",9621,"suicide, hotel room, suicide attempt, new love, funeral, airplane, lovers, falling in love",en,United States of America,English,Elizabethtown
"Comedy, Romance",1819,"roommate, love of one's life, newlywed",en,United States of America,English,"You, Me and Dupree"
"Action, Adventure, Fantasy, Science Fiction",8536,"saving the world, dc comics, sequel, superhero, based on comic book, loss of virginity, criminal, super powers, phantom zone, rocket fired grenade, crystal machine, superhuman strength, duringcreditsstinger",en,"United Kingdom, United States of America",English,Superman II
Drama,8046,"new york, mentally disabled, kidnapping, blackmail, mission of murder, lovers, lesbian, mobster",en,United States of America,English,Gigli
"Drama, Thriller",1717,"corruption, journalist, based on novel, blackmail, manipulation, bodyguard, louisiana, scandal, power, governor, politics, tragedy, mistress, aristocrat",en,United States of America,English,All the King's Men
"Action, Adventure, Crime, Thriller",479,"corruption, black people, italo-american, brother sister relationship, drug dealer, revenge, murder, violence, drug, police officer, xenophobia",en,"Germany, United States of America","English, Español, Deutsch",Shaft
"Animation, Family",9444,"tzar, musical, russian revolution, train explosion, foreign language adaptation, exploding train",en,United States of America,"English, Pусский, Français",Anastasia
"Drama, Music, Romance",824,"duke, musical, writer's block, music, terminal illness, writer, no opening credits, moulin rouge, bohemian, toulouse lautrec, red curtain, cancan dance, la traviata, orpheus and eurydice, dance hall",en,"Australia, United States of America","Français, Español, English",Moulin Rouge!
"Mystery, Thriller, Crime",11456,"menace, adoption, dangerous, adoptive father, threat to death, step father, murder, divorce, ex-wife, child, murder hunt",en,United States of America,English,Domestic Disturbance
"Crime, Drama",261023,"boston, based on true story, organized crime",en,"United Kingdom, United States of America",English,Black Mass
"War, Drama, History",3683,"world war ii, dying and death, pacific, iwo jima, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,Flags of Our Fathers
"Drama, Crime, Thriller",22803,"tattoo, secret passage, baseball bat, deal, explosion, justice, district attorney, courtroom, vigilantism",en,United States of America,English,Law Abiding Citizen
"Thriller, Action, Horror",285923,"exploitation, slasher, zombie, killer",en,United States of America,"Español, English",Grindhouse
"Drama, Thriller",39437,,en,United States of America,English,Beloved
"Drama, Romance",1950,"poker, sport, las vegas",en,United States of America,English,Lucky You
"Drama, Crime",640,"con man, biography, fbi agent, overhead camera shot, attempted jailbreak, engagement party, mislaid trust, bank fraud, inspired by a true story",en,United States of America,"English, Français",Catch Me If You Can
"Thriller, Drama, History",97630,"assassination, cia, hotel, terrorist, prisoner, car dealer, mossad, van, iraq, pakistan, osama bin laden, man hunt, navy seal, f word, female protagonist, gunfight, raid, violence, text message, monkey, dog, special forces, tied up, military, area 51, terrorist group, torturing, woman director, al qaeda, prison camp, water torture, suicide bombing, 21st century, ex special forces, post 9/11, helicopter crash, islamabad",en,United States of America,"English, العربية",Zero Dark Thirty
"Romance, Comedy",9767,"bowling, chicago, american football, flat, baseball, new love, tour guide, break-up, art gallery, argument, pool table, watching tv, ex-boyfriend ex-girlfriend relationship, dinner party, condominium",en,United States of America,English,The Break-Up
"Comedy, Romance",11631,"single parent, greece, musical, daughter, single, mother daughter relationship, duringcreditsstinger, woman director",en,"Germany, United Kingdom, United States of America","English, ελληνικά",Mamma Mia!
"Comedy, Romance",32856,"flower, married couple, florist, kiss, single, valentine, valentine's day, multiple storylines, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,Valentine's Day
"Action, Adventure, Comedy",6519,"sheriff, farm, bikini, redneck, moonshine",en,United States of America,English,The Dukes of Hazzard
"Drama, History, War",8741,"based on novel, japanese, world war ii, battle assignment, invasion, marine corps, u.s. army, commander, pacific, rifle, survival, jungle, infantry, steel helmet, sergeant, pacific island, soldier, battle, fighting, guadalcanal, awol, philosophic conflict",en,"Canada, United States of America","English, Pусский",The Thin Red Line
Comedy,49520,"jealousy, chance, wish, change, man change, co-worker, body-swap",en,United States of America,English,The Change-Up
"Comedy, Drama, Romance",1850,"show business, comedian, wrestling",en,United States of America,English,Man on the Moon
"Drama, Crime",524,"poker, drug abuse, 1970s, overdose, illegal prostitution",en,"France, United States of America",English,Casino
"Action, Crime, Thriller",26389,"paris, cia, undercover, explosive, pimp, ambassador, anti hero, revelation, french, politician, firearm, deception, car crash, gang",en,"United Kingdom, France","Deutsch, English, Français, 普通话",From Paris with Love
"Action, Comedy, Fantasy",11817,"monk, homeless person, injection, fall, knife fight, scroll, the force",en,United States of America,"English, , ਪੰਜਾਬੀ, Deutsch",Bulletproof Monk
Comedy,2123,"schizophrenia, ex-cop, aftercreditsstinger, duringcreditsstinger",en,United States of America,"English, Deutsch","Me, Myself & Irene"
"Animation, Comedy, Family",9907,"peasant, farm, cow, cojote, family",en,"Germany, United States of America",English,Barnyard
"Comedy, Family",9969,"holiday, massachusetts, neighbor, christmas",en,United States of America,English,Deck the Halls
"Adventure, Fantasy, Drama, Romance",18239,"moon, cinema, vampire, werewolf, fang vamp",en,United States of America,"English, Italiano",The Twilight Saga: New Moon
"Adventure, Animation, Comedy, Family, Fantasy",808,"magic, liberation, lordship, castle, robin hood, enchantment, fairy-tale figure, princess, parody, woman director, ogre",en,United States of America,English,Shrek
"Science Fiction, Thriller, Romance",38050,"hotel, dancer, hat, senator, future, honesty, plan, kiss, speech, marriage, politician, alone, fate, foot chase, covert agency, courthouse, political campaign, based on short story",en,United States of America,English,The Adjustment Bureau
Adventure,8367,"england, crusade, mercifulness, robin hood, folk hero",en,United States of America,English,Robin Hood: Prince of Thieves
"Comedy, Drama, Romance",9390,"stadium, career, sport, sports agent",en,United States of America,"English, Polski",Jerry Maguire
"Comedy, Fantasy",72105,"friendship, love, teddy bear, toy comes to life, wishes come true",en,United States of America,English,Ted
"Comedy, Romance",2898,"single parent, waitress, lone wolf, friendship, neighbor, author, cowardliness, writer, dog, rude, obnoxious, unlikely friendship, noodle salad",en,United States of America,English,As Good as It Gets
"Comedy, Drama",10312,"nurse, hospital, doctor, laughter",en,United States of America,English,Patch Adams
Comedy,109443,"journalism, mustache, tv news, newsroom, gang warfare, aftercreditsstinger, news spoof, tv news anchor",en,United States of America,English,Anchorman 2: The Legend Continues
"Comedy, Romance",2022,"love letter, new hampshire, ferrari, liar, city country contrast, inheritance, billionaire, new york city, kindness, fable, apple tree, corporate take over, chrysler building",en,United States of America,English,Mr. Deeds
"Thriller, Science Fiction, Mystery",37686,"1970s, secret, alien, train crash, pistol, firecracker, duringcreditsstinger",en,United States of America,English,Super 8
Drama,462,"biography, based on true story, single mother, water pollution, environmental law",en,United States of America,"English, Français",Erin Brockovich
"Comedy, Romance",9919,"new york, bet, journalist, therapist, advertising expert, relationship",en,"Germany, United States of America",English,How to Lose a Guy in 10 Days
"Crime, Comedy, Action",187017,"high school, undercover cop, buddy comedy, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,22 Jump Street
"Horror, Romance",628,"paris, san francisco, vampire, plantation, pity, bite, fang vamp",en,United States of America,"English, Français",Interview with the Vampire
Comedy,10201,"bungee-jump, scooter",en,United States of America,"Eesti, English, 한국어/조선말",Yes Man
"Action, Comedy",302699,"spy, cia, espionage, high school reunion, reference to facebook, accountant",en,United States of America,English,Central Intelligence
"Drama, Romance",9441,"divorce, rebellious daughter, freeze frame, custody, school play, photo shoot",en,United States of America,English,Stepmom
Comedy,274167,daddys home,en,United States of America,English,Daddy's Home
"Fantasy, Comedy, Music",224141,"witch, cinderella, prince, fairy tale, musical, princess, sondheim, curse, based on stage musical, beanstalk, duringcreditsstinger, red riding hood",en,United States of America,English,Into the Woods
"Crime, Drama, Thriller",388,"bank manager, kidnapping, nazi background, document, ultimatum, court case, heist, financial transactions",en,United States of America,"English, shqip",Inside Man
"Drama, Action, Thriller, Crime",2112,"new york, heroin, money, criminal",en,United States of America,English,Payback
"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",10329,"gorilla, kongo, diamond mine, diamond",en,United States of America,"English, Français",Congo
"Drama, Comedy, Family",74465,zoo,en,United States of America,English,We Bought a Zoo
"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",13811,"cataclysm, code, suspense, end of the world, time capsule, astrophysicist, grieving widower, lexington massachusetts, westford massachusetts, prediction, researcher, numbers, news",en,"United Kingdom, United States of America, Australia",English,Knowing
Comedy,6877,"hotel mom, romantic comedy, lying, living with parents, pretend relationship",en,United States of America,English,Failure to Launch
"Drama, Horror, Thriller",10320,"nun, based on novel, bath tub, nightmare, son, sequel, remake, vision, good vs evil, woman reporter, mental institution, videotape, evil child",en,United States of America,English,The Ring Two
"Comedy, Drama, Romance",50646,"soulmates, midlife crisis, marriage crisis, womanizer, law school, crazy, relationship",en,United States of America,English,"Crazy, Stupid, Love."
"Animation, Comedy, Family",8920,"competition, moderator, lasagne, garfield",en,United States of America,English,Garfield
"Comedy, Family",13673,"holiday, christmas",en,United States of America,"Español, English",Christmas with the Kranks
Drama,60308,"underdog, based on novel, baseball, teamwork, sport, partner, meeting, oakland california, strategy, voice over, statistics",en,United States of America,English,Moneyball
"Action, Drama, Science Fiction, Thriller",6950,"river, general, research, army, serum, monkey, epidemic, medical research",en,United States of America,"English, 한국어/조선말, Français",Outbreak
"Action, Thriller, Mystery",225574,"airplane, conspiracy, airplane crash, cell phone, hijack, one night, mystery killer",en,"France, United Kingdom, United States of America","English, Deutsch",Non-Stop
"Adventure, Family, Fantasy, Science Fiction, Thriller, Action",13836,"spacecraft, laser, teleportation, telekinesis, alien, military, duringcreditsstinger, supernatural power, mountain",en,United States of America,English,Race to Witch Mountain
"Action, Thriller, Fantasy",752,"detective, vatican, fascism, satanism, fascist, dystopia, government, chancellor, revenge, personification of satan, torture, hatred, masked vigilante, catholicism, catholic priest, catholic guilt, jesuit, vengeful spirit, activist, irish catholic, vengeful, jesuit priest, gnosticism, occultism",en,"Germany, United Kingdom, United States of America",English,V for Vendetta
"Action, Adventure, Comedy, Western",6038,"london england, indian territory, emperor, revenge, murder, arrow, duringcreditsstinger, imperial seal",en,"Hong Kong, United States of America","English, 普通话",Shanghai Knights
"Adventure, Animation, Comedy, Family",9975,"museum, product placement, balloon, jungle, monkey, family, prediction, cargo ship, curiosity",en,United States of America,English,Curious George
"Comedy, Family, Adventure, Fantasy, Romance",11451,"car race, victory, car, nascar, woman director",en,United States of America,English,Herbie Fully Loaded
Thriller,12103,"cemetery, diamant, suspense, psychiatrist, killer",en,"Australia, United States of America","English, Français, Italiano, Español",Don't Say a Word
"Fantasy, Horror, Action",60304,"witch, black magic, steampunk, good vs evil, troll, extreme violence, violence, witchcraft, evil, witch hunt, witch hunter, evil witch, duringcreditsstinger, hansel and gretel, guns, 3d",en,"United States of America, Germany",English,Hansel & Gretel: Witch Hunters
"Thriller, Drama",2251,"adultery, infidelity, eroticism, literature, lover, new york city, erotic thriller",en,United States of America,"English, Français",Unfaithful
"Action, Thriller, Science Fiction, Adventure",46529,"secret identity, alien, teenage boy, teenage hero, alien teenager, interspecies romance, based on young adult novel, superpowers",en,United States of America,"Français, English",I Am Number Four
"Drama, Thriller",231,"anti terror, bomb, assassination, middle east, lebanon, cia, capitalism, globalization, loss of son, persia, war against terror, energy policy, petrol",en,United States of America,"العربية, English, فارسی, اردو, Français, 普通话",Syriana
"Action, Drama, History, Thriller, War",300671,"based on novel, assault rifle, mercenary, libya, biography, based on true story, heroism, explosion, american abroad, death, 21st century, cia agent, u.s. ambassador",en,"Malta, Morocco, United States of America","العربية, English",13 Hours: The Secret Soldiers of Benghazi
"Romance, Animation, Adventure, Comedy, Family, Fantasy",228326,"love triangle, afterlife, day of the dead, bullfighting",en,"Mexico, United States of America",English,The Book of Life
Thriller,9754,"bank, technology, blackmail, hacker, seattle, computer hacker, firewall",en,"United States of America, Australia",English,Firewall
"Crime, Drama, Thriller",66,"corruption, assassination, washington d.c., rape, white house, usa president, daughter, government, suspense, secret service, secret service agent",en,United States of America,"English, Español",Absolute Power
"Action, Drama",4421,"poem, middle east, helicopter, satellite, navy, sexism, war, army, sexual harassment, navy seal, feminist, soldier, commando, mental health, drill instructor, military, u.s. military, army base, reconnaissance, sexual discrimination",en,United States of America,English,G.I. Jane
"Drama, Thriller, Mystery",2649,"brother brother relationship, birthday, danger of life, birthday party, surprising",en,United States of America,"广州话 / 廣州話, Deutsch, English",The Game
"Horror, Mystery",588,"monster, mother role, burning of witches, fog, suffering, darkness, sadism, supernatural, revenge, surrealism, gore, survival, good vs evil, blood, another dimension, torture, creature, violence, demon, witch burning, based on video game, dismemberment, religious fanatic, ghost town, sleepwalking",en,"Canada, France, Japan, United States of America",English,Silent Hill
Comedy,10393,"american football, strike, sport, coach, misfit, american football player",en,United States of America,English,The Replacements
Comedy,71552,"wife husband relationship, sequel, family reunion, masturbation, scat, high school reunion, quitting a job, milf, duringcreditsstinger",en,United States of America,English,American Reunion
"Action, Adventure, Crime, Drama, Mystery, Thriller",9631,"corruption, hostage, pension, innocence, police, hostage-taking, murder, suspense, conspiracy, bullet wound, negotiator",en,"Germany, United States of America",English,The Negotiator
"Action, Thriller",216282,"tornado, student, found footage, disaster movie",en,United States of America,English,Into the Storm
"Action, Comedy, Crime",306,"detective, undercover, security camera, carousel , investigation, weapon, sequel, rescue, counterfeit, shootout, dirty cop, gunfight, los angeles, explosion, violence, foot chase, framed, car chase, secret service, amusement park, roller coaster, beverly hills, buddy comedy",en,United States of America,English,Beverly Hills Cop III
"Comedy, Horror, Fantasy",928,"new york, monster, skyscraper, mutant, restaurant, human animal relationship, mutation, tv station, dying and death, water, research station, fur, bat, current, electric shock, cleverness, gremlin, cowardliness",en,United States of America,English,Gremlins 2: The New Batch
Drama,205587,"father son relationship, judge, lawyer",en,United States of America,English,The Judge
"Action, Thriller",6623,"helicopter, terrorist, nuclear missile, bridge, train crash, train, woman director",en,United States of America,"English, Pусский, Srpski, Bosanski, Hrvatski",The Peacemaker
"Horror, Action, Science Fiction",1577,"martial arts, mutant, dystopia, rescue, conspiracy, evil corporation, zombie, based on video game",en,"United Kingdom, United States of America, Germany, France, Canada",English,Resident Evil: Apocalypse
"Comedy, Romance",9801,"london england, lovesickness, thailand, clumsy fellow, to drop brick, capture, woman director",en,"France, Germany, Ireland, United Kingdom, United States of America","Deutsch, ภาษาไทย, English",Bridget Jones: The Edge of Reason
"Thriller, Crime, Drama",2116,"miami, florida, double murder, divorce",en,United States of America,English,Out of Time
"Action, Thriller",9624,"fight, inuit, petrol, company, alaska, enviromental",en,United States of America,"Český, English",On Deadly Ground
"Adventure, Family, Science Fiction",14199,"imaginary friend, outcast",en,United States of America,English,The Adventures of Sharkboy and Lavagirl
"Drama, Adventure, Romance, Thriller",1907,"hippie, exotic island, beach, map, group dynamics, shark attack, leader, thailand, community, backpacker, delusion, marijuana, youth, shark, extramarital affair",en,"United Kingdom, United States of America","English, Français, Hrvatski, svenska, ภาษาไทย",The Beach
"Drama, Comedy, Romance",4599,"new york, pastor, world of fasion, loss of parents, mannequin, fashion designer, family relationships",en,United States of America,English,Raising Helen
"Action, Crime, Thriller",22832,"assassination, assassin, ninja fighter, revenge, ninja, ninjutsu",en,"Germany, United States of America",English,Ninja Assassin
"Drama, Romance",10390,"baseball, trainer, career, legend, training, sport",en,United States of America,English,For Love of the Game
"Drama, Thriller, Crime",9879,"blackmail, strip club, striptease, police, u.s. congress",en,United States of America,English,Striptease
"Family, Comedy",38579,,en,United States of America,English,Marmaduke
"Drama, Fantasy",44603,,en,United States of America,"English, Français",Hereafter
"Crime, Drama, Thriller",11892,"detective, secret, fbi, homicide, evidence, nerd, vice, intellectual, high school, partner, murder, rich, forensic",en,United States of America,English,Murder by Numbers
"Action, Adventure, Crime, Thriller",9691,"competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan",en,"France, United States of America","English, Español, Nederlands",Assassins
"Crime, Drama, Thriller",1248,"winter, psychopath, horror, serial killer",en,"United Kingdom, Czech Republic, France, Italy","English, Deutsch, Pусский",Hannibal Rising
"Comedy, Drama, Romance",12220,"love of one's life, therapist, psychology, wedding, relationship, divorce",en,United States of America,"Italiano, English",The Story of Us
"Action, Adventure, Romance, Science Fiction, Thriller",72710,"based on novel, mass murder, dystopia, genocide, alien invasion, duringcreditsstinger, interspecies romance, alien parasites",en,United States of America,English,The Host
"Action, Drama, Mystery, Thriller, Crime",10782,"drug addiction, military court, panama, military service, court, ranger, supreme court, lager, military crime",en,United States of America,English,Basic
